Calculation of level 2 drainage area

ID       Inlet 1  Inlet 2  Inlet 3  Outlet   Slope    Rainwater  Capacity     Fill pstg    House num    Roof area    Roof water   RWH ctrbt   
(-)      (-)      (-)      (-)      (-)      (10^-3)  (m^3/sec)  (m^3/sec)    (-)          (-)          (m^2)        (m^3/sec)    (-)         
  27      nan      nan      nan       nan     27.0      0.182      0.225          81%           19       1132.44       0.0180          10%
  28       26       27      nan        30     13.3      3.626     18.159          20%           11        661.02       0.0105           0%
  29      nan      nan      nan       nan     58.2      0.081      0.330          25%            6        546.92       0.0087          11%
  30       28       29      nan        44     13.3      3.718     18.159          20%            6        462.79       0.0073           0%
  32      nan      nan      nan       nan     89.2      0.023      0.110          21%            3        188.69       0.0030          13%
  33       32      nan      nan       nan    177.4      0.176      1.726          10%            0          0.00       0.0000           0%
  35       33      nan      nan       nan    152.7      0.502      1.601          31%           19       1405.28       0.0223           4%
  36       35      nan      nan       nan     77.5      0.779      2.474          31%           14       1460.18       0.0232           3%
  37       36      nan      nan        38     85.1      0.806      9.738           8%            6        407.58       0.0065           1%
  41      nan      nan      nan       906     75.7      0.260      0.328          79%           26       1839.05       0.0292          11%
  42      nan      nan      nan       nan    106.6      0.137      0.255          54%            8        802.37       0.0127           9%
 906       41       42      nan       nan     82.0      0.396      0.552          72%          nan           nan          nan         nan%
  38       37      906      nan        40     42.3      1.269      6.866          18%            7        575.04       0.0091           1%
  39      nan      nan      nan       nan     30.2      0.063      0.136          46%            7        400.81       0.0064          10%
  40       38       39      nan        44     48.4      1.349      7.344          18%            3        248.21       0.0039           0%
  43      nan      nan      nan       nan     44.6      0.093      0.289          32%           11        677.11       0.0107          12%
  44       30       40       43       nan     10.0      5.136     18.862          27%            3        341.39       0.0054           0%
  45       44      nan      nan        54     10.0      5.240     18.862          28%           16       1595.39       0.0253           0%
  46      nan      nan      nan       nan     70.8      0.167      0.181          92%           12        815.55       0.0129           8%
  47       46      nan      nan        52     96.2      0.251      0.425          59%            7        504.58       0.0080           3%
  48      nan      nan      nan        51     50.0      0.125      0.306          41%           12        941.83       0.0149          12%
  49      nan      nan      nan        51    191.2      0.047      0.341          14%            7        599.05       0.0095          20%
